id	label	statement	subject	speaker	speaker_job_title	state_info	party_affiliation	barely_true_counts	false_counts	half_true_counts	mostly_true_counts	pants_on_fire_counts	context
12372-0	half-true	Under the ruling of the Supreme Court, any sexual activity with an animal is now legal.	animals,weird-news,supreme-court	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10173-0	false	In the state of Texas, 17,000 construction jobs with taxpayer money paying at least $10 an hour -- more than twice the federal minimum wage -- were lost because of the shutdown.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7655-0	true	Jeff Crank did not disclose that he was a senior editor for the Daily Caller while he was paid by a group of conservative organizations to write about the IRS scandal.	ethics	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7974-0	true	Of the 33,000 signatures required to get on the ballot in Florida, they had the number -- or it was in question.	elections	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7225-0	half-true	Both of them (Romney and Ryan) have criticized Obama for his tax plan for the rich.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12612-0	barely-true	Louisiana is one of the few states where people can get married by text message.	technology,weird-news	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
1155-0	false	The unemployment rate for college graduates is the same today as it was before the recession.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3189-0	half-true	Mike Pence and I agree on foreign policy.	foreign-policy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11253-0	false	The Republican Party is still sending tens of thousands of dollars to Ari Fleischer, Karl Rove, and Ed Gillespie through this super PAC.	campaign-finance	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12408-0	half-true	Our courts have upheld the federal governments ability to enforce the Voting Rights Act.	voting-rights	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4122-0	false	Let me tell you about the very rich. They are different from you and me.	wealth	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4229-0	half-true	Neil Abercrombie has a long record of service in the Hawaii Legislature.	job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
5516-0	true	U.S. Rep. Charles Boustany campaigns for the people of Southwest Louisiana.	job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
1898-0	false	When it comes to the state deficit, Wisconsin is 35th out of the 50 states.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12428-0	half-true	Most Americans have health insurance today because of Obamacare.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
8036-0	half-true	The United States has the highest corporate tax rate in the free world.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
426-0	mostly-true	The president has said that the wanted the country to move beyond the Bush tax cuts.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12339-0	half-true	I dont know who (Jonathan Gruber) is.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7221-0	false	No one claims the report vindicates in anyway the Democrats who are trying to protect the president from impeachment.	watergate	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
157-0	true	The GOP is playing the same old tactics that theyve been using for decades.	campaign-finance	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
1055-0	false	Says 11 trillion was added to the national debt since the president took office.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6172-0	true	The economic plan of Mitt Romney and Paul Ryan is "a five-point plan that is going to kill Medicare."	medicare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11358-0	false	The IRS story broke in the Los Angeles Times.	watergate	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12681-0	false	More than half of Oregons children are poor.	poverty	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
684-0	half-true	On June 9, 2009, Dodd-Frank became law.	financial-regulation	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12172-0	barely-true	Says receiving the National Defense University diploma os a privilege that conveys no public office of honor.	education	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10638-0	half-true	Between 2009 and 2012, the government created 1.5 million jobs.	job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3331-0	barely-true	An overwhelming majority of economists say President Obamas stimulus plan helped save or create 1 million to 2 million jobs.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11215-0	false	The White House has proposed $200 billion in cuts to Medicare and Social Security.	medicare,social-security	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
5673-0	false	Legislation that would protect seniors from prescription drug abuse is being blocked by the GOP.	medicare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7057-0	half-true	The veto the other day was a veto on an override of a veto -- to make sure that we didnt go back to the Medicare Advantage cuts.	medicare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12628-0	false	As a result of Obamacare, California doctors have been driven out of business.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10454-0	false	The president wants to raise the debt ceiling four times.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12983-0	half-true	Under President George W. Bush, we added $4.9 trillion to the national debt.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
138-0	true	Health care costs are lower here than they are nationally.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6264-0	half-true	The Supreme Court upheld the Affordable Care Act because Congress had the power to establish an individual mandate.	health-care,supreme-court	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6078-0	false	The Republican nominee would veto the Dream Act.	immigration	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
234-0	true	The only people who dont have health insurance are those who choose not to have it.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
9426-0	half-true	McCains campaign has ignored a new ad showing the effects of climate change in Florida.	environment	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10166-0	false	Says Rick Perry turned down our invitation to debate this summer.	debates	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
5962-0	half-true	Under the Bush tax cuts, the tax rate for the wealthy went down, the tax rate for corporations went down, and the tax rate for small businesses went down.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
634-0	true	We have a strong economy, created 5.4 million new jobs, until the recession came.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6111-0	half-true	The Medicaid expansion under the ACA is on a fixed amount per person across the country -- the same amount for providers whether they are in lower or higher cost areas.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11421-0	false	The Ohio Department of Health provides very little funding for abortion services.	abortion	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
896-0	half-true	Says John McCain has voted with George Bush 90 percent of the time.	foreign-policy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10710-0	false	Jim Weiers successor in the state Assembly, Dennis Hastert, outsourced 88 state jobs to his son.	job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11207-0	true	Today, 77 percent of Georgias small businesses make less than $150,000 a year.	small-business	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4922-0	barely-true	The Obama administration misled the Supreme Court over the existence of the individual mandate.	health-care,supreme-court	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12456-0	half-true	In the Bush administration, $90 billion a month was being spent in Iraq and Afghanistan.	iraq	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
2116-0	false	Says Mitt Romney called the Arizona SB 1070 law "a model for the nation."	immigration	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
703-0	false	President Bush lowered taxes for the wealthy and raised them on the middle class.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12635-0	true	We cut business taxes by $250 billion to spur growth and create jobs.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
585-0	half-true	Says under the presidents proposed budget, the Marine Corps would get fewer ships than needed to carry out its mission.	military	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
713-0	mostly-true	I was in the state Senate backing up Sen. Sanders when TARP came to his floor.	bailout	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11685-0	false	The White House tried to cover up the Fast and Furious scandal.	gun-control	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
624-0	half-true	There are 47 million Americans who are either uninsured or underinsured.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11096-0	false	The earned income tax credit, $1 billion of that has gone to illegal immigrants.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3123-0	half-true	U.S. Rep. Ron Paul is the only Republican candidate in the race who would not have supported the war in Iraq.	iraq	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11064-0	half-true	The federal government spends about $25 billion of the tax-payers money for Housing and Urban Development each year.	federal-budget	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
6696-0	false	We have a president who was elected by the people to be commander-in-chief, and the people now want him to command.	foreign-policy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7931-0	half-true	Says the unemployment rate when the president took office was 7.8 percent.	economy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4975-0	barely-true	Since 2008, the United States has added 1.5 million jobs per year on average.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
331-0	false	The recession ended on the presidents watch.	economy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
9367-0	true	As of today, the president requires 60 percent of the work under the Recovery Act to be American made.	jobs	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
4057-0	half-true	The Family and Medical Leave Act was passed when the Democrats controlled the House but there were plenty of Republicans supporting it.	family-leave	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
625-0	mostly-true	The last time we had surpluses, we cut taxes for the wealthy, and what happened?	economy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
8578-0	false	There are science and technology jobs that take every year that are going begging, and Congress hasnt raised the visa caps for those.	immigration	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11302-0	false	Says the Obama administration is sending $500 million to Gaza.	foreign-policy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12410-0	true	Under the Obama administration, the national debt has gone up $6 trillion.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10913-0	false	A new poll shows 53 percent of Americans support allowing President Obama to take his golf game to the Pentagon.	golf	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
7113-0	barely-true	Says climate change is a hoax.	environment	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11468-0	false	Since taking office, President Obama has nearly doubled our national debt.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3952-0	half-true	When I was elected in 2010, the federal workforce had over 2 million employees.	federal-budget	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10934-0	true	The health care law is saving money.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
5062-0	true	We pay for the security of our diplomats with money from foreign aid.	foreign-policy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12476-0	half-true	The White House says it cant find any emails from the Obama administration.	watergate	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
8486-0	false	We had the largest increase in research and development funding in our history.	science	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12249-0	half-true	Under the presidents 2013 budget, the Coast Guard would be reduced by 14 percent.	military	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
2666-0	false	The Obama administration spent $7 million to build a web site for the First Lady.	federal-budget	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
2616-0	half-true	As many as 75 percent of the uninsured can get coverage through Medicaid expansion.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
5727-0	false	The presidents budget funds Planned Parenthood at the same levels as the previous year.	abortion	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10439-0	false	We have 3 million more people who have health insurance now than before the Affordable Care Act was passed.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
9643-0	true	The U.S. has added 7.7 million jobs since the president took office.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11232-0	false	The unemployment rate in the state of Wisconsin went up when Scott Walker became governor.	economy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12611-0	false	Says the Obama administration is responsible for $16 trillion of debt.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12559-0	false	Rep. Paul Ryan is the architect of the Republican Medicare plan that would voucherize and privatize Medicare.	medicare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3216-0	pants-fire	One out of every 100 Americans is now in prison.	crime	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11033-0	barely-true	The Obama administration eliminated the work requirement for welfare recipients in the stimulus bill.	welfare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
9387-0	false	Under Obama, the U.S. has become a net exporter of motor vehicles and parts for the first time since 1991.	trade	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12118-0	half-true	The United States has the highest corporate tax rate in the world.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10215-0	false	The Obama administration is trying to bait and switch the American people from private insurance to government-run health care.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12409-0	true	The federal government employs 2 million fewer people than it did in 1962.	federal-budget	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
8016-0	false	We have the highest health care costs in the world.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12132-0	false	The president promised that premiums would go down $2,500 for a typical family.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11020-0	half-true	Barack Obama opposed the Iraq war from the beginning.	iraq	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
5373-0	barely-true	The White House has delayed the individual mandate for Obamacare for a year.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11300-0	false	The Obama administration has now agreed to veto-free, troop-funded pay raises.	military	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
2182-0	false	Says Newt Gingrich has called Medicare "the biggest threat to our fiscal health."	medicare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3749-0	half-true	The federal government has enough money to fund Defense, Medicare, and Social Security, but not enough to fund the childrens health insurance program.	federal-budget	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
584-0	false	The Obama administration shut down the government for 16 days.	government-shutdown	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10473-0	false	The presidents budget eliminates 250,000 jobs, including 1,000 at Ohio State University.	federal-budget	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12279-0	false	Since 2008, weve had 10 straight months of private sector job growth.	economy,job-accomplishments	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12644-0	half-true	The U.S. has the highest health care costs as a percentage of GDP in the world.	health-care	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
3536-0	false	When the president took office, family income was $7,000 higher than it is today.	economy	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12665-0	false	The Obama administration tripled the national debt.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
1891-0	false	Says the presidents budget proposal includes $716 billion in cuts to Medicare.	medicare	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11479-0	false	The Obama administration forgave a $135 million loan to Solyndra.	bailout	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11858-0	false	The presidents budget cuts $2.5 trillion from Medicare and Social Security.	medicare,social-security	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
1001-0	false	The Obama administration has raised taxes on the American people $3 trillion since he took office.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12438-0	false	The presidents proposed 2012 budget increases our debt by $9 trillion over the next decade.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
10114-0	false	The Obama administration is responsible for a $16.5 trillion national debt.	deficit	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
12052-0	false	The presidents budget eliminates the home mortgage interest deduction.	taxes	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama	obama
11692-0	false	The Obama administration tripled the deficit.	deficit	obama	obama	obama	ob
